,City,County,State,Full Address,Latitude,Longitude,Country,FIPS,,,,,,,NUMBER OF ARTICLES
"Islands' Weekly, The",Lopez Island,SAN JUAN,WA,Lopez Island SAN JUAN WA ,48.4869178,-122.8955117,USA,,Weekly,Yes,Newspaper,English,12/23/2001,Full Text,0
Issaquah & Sammamish Reporter,Issaquah,KING,WA,Issaquah KING WA ,47.5300699,-122.0329148,USA,,Weekly,Yes,Newspaper,English,4/4/2008,Full Text,6
Journal of the San Juan Islands,Friday Harbor,SAN JUAN,WA,Friday Harbor SAN JUAN WA ,48.5342662,-123.0171242,USA,,Weekly,Yes,Newspaper,English,5/13/2008,Full Text,0
Kent Reporter,Kent,King,WA,Kent King WA ,47.3815271,-122.2374262,USA,,Weekly,Yes,Newspaper,English,4/2/2008,Full Text,10
King County Journal,Bellevue,King,WA,Bellevue King WA ,47.6101497,-122.2015159,USA,,Daily,Yes,Newspaper,English,12/3/1999,Full Text,0
Kingston Community News,Kingston,Kitsap,WA,Kingston Kitsap WA ,47.7987072,-122.4981921,USA,,Monthly,Yes,Newspaper,English,4/30/2007,Full Text,0
Kirkland Reporter,Kirkland,King,WA,Kirkland King WA ,47.6768927,-122.2059833,USA,,Weekly,Yes,Newspaper,English,4/9/2008,Full Text,6
Kitsap Daily News,Poulsbo,Kitsap,WA,Poulsbo Kitsap WA ,47.735928,-122.6465372,USA,,Daily,Yes,Web-Only Source,English,11/3/2016,Full Text,2
Kitsap Military Times,Naval Base Kitsap,Kitsap,WA,Naval Base Kitsap Kitsap WA ,47.72215,-122.7181033,USA,,Monthly,Yes,Magazine,English,3/23/2012,Full Text,0
Kitsap Navy News,Naval Base Kitsap,Kitsap,WA,Naval Base Kitsap Kitsap WA ,47.72215,-122.7181033,USA,,Weekly,Yes,Newspaper,English,3/31/2011,Full Text,0
La Raza del Noroeste,Everett,Snohomish,WA,Everett Snohomish WA ,47.9782457,-122.207417,USA,,Weekly,Yes,Newspaper,Spanish,11/14/2008,Full Text,0
Lake Chelan Mirror,Chelan,Chelan,WA,Chelan Chelan WA ,47.8408323,-120.0168079,USA,,Weekly,Yes,Newspaper,English,8/1/2012,Full Text,1
"Leavenworth Echo, The",Leavenworth,Chelan,WA,Leavenworth Chelan WA ,47.5962326,-120.6614765,USA,,Weekly,Yes,Newspaper,English,9/5/2007,Full Text,1
Lynnwood Today,Lynnwood,Snohomish,WA,Lynnwood Snohomish WA ,47.8209301,-122.3151313,USA,,Daily,Yes,Web-Only Source,English,3/20/2010,Full Text,4
Madison Park Times,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Monthly,Yes,Newspaper,English,6/18/2001,Full Text,0
Maple Valley & Covington Reporter,"Maple Valley, Covington",King,WA,"Maple Valley, Covington King WA ",47.3595592,-122.118012,USA,,Weekly,Yes,Newspaper,English,4/5/2008,Full Text,6
Marysville Globe,Marysville,Snohomish,WA,Marysville Snohomish WA ,48.0517637,-122.1770818,USA,,Weekly,Yes,Newspaper,English,10/4/2006,Full Text,1
Mercer Island Reporter,Mercer Island,"KING, Pierce",WA,"Mercer Island KING, Pierce WA ",47.5706548,-122.2220673,USA,,Weekly,Yes,Newspaper,English,1/6/2005,Full Text,6
MLTnews,Mountlake Terrace,Snohomish,WA,Mountlake Terrace Snohomish WA ,47.7881528,-122.3087405,USA,,Daily,Yes,Web-Only Source,English,5/27/2009,Full Text,3
My Edmonds News,Edmonds,Snohomish,WA,Edmonds Snohomish WA ,47.8111602,-122.3769102,USA,,Daily,Yes,Web-Only Source,English,10/27/2009,Full Text,3
NBC - 5 KING,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,Yes,Web-Only Source,English,8/10/2009,Full Text,25
NBC - 5 KING,"Seattle, Tacoma","King, Pierce",WA,"Seattle, Tacoma King, Pierce WA ",47.2551307,-122.4419643,USA,,Daily,No,Transcript,English,1/25/2007,Full Text,0
New City Collegian: Seattle Central Community College,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Weekly,No,Blog,English,10/6/2013,Full Text,1
"News Tribune Today's Edition, The",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Newspaper: Image Edition,English,7/10/2024,Full Text,4
"News Tribune, The",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Weekly,Yes,Newspaper,English,1/1/1992,Full Text,0
"News Tribune, The",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Weekly,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,43
"News Tribune, The: Blogs",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Blog,English,3/16/2006,Full Text,0
"News Tribune, The: Video",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Video,English,6/22/2023,Full Video Feed,0
"News Tribune, The: Video Transcripts",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Transcript,English,5/6/2019,Full Text,0
"News Tribune, The: Web Edition Articles",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Web-Only Source,English,6/3/2009,Full Text,11
Normandy Park Blog,Normandy Park,King,WA,Normandy Park King WA ,47.4362103,-122.3406799,USA,,Daily,Yes,Web-Only Source,English,8/16/2019,Full Text,0
"North American Post, The (Hokubei Hochi)",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Weekly,Yes,Newspaper,English,10/10/2015,Full Text,0
"North Coast News, The",Ocean Shores,GRAYS HARBOR,WA,Ocean Shores GRAYS HARBOR WA ,47.0074167,-124.1613653,USA,,Monthly,Yes,Newspaper,English,11/4/2008,Full Text,0
North Kitsap Herald,Poulsbo,Kitsap,WA,Poulsbo Kitsap WA ,47.735928,-122.6465372,USA,,Weekly,Yes,Newspaper,English,8/9/2000,Full Text,0
Northwest Navigator Kitsap-Everett,Naval Base Kitsap,Kitsap,WA,Naval Base Kitsap Kitsap WA ,47.72215,-122.7181033,USA,,Weekly,Yes,Newspaper,English,9/30/2004,Full Text,0
Northwest Navigator Whidbey,Whidbey Island Naval Base,Island,WA,Whidbey Island Naval Base Island WA ,48.3451754,-122.6695813,USA,,Weekly,Yes,Newspaper,English,9/30/2004,Full Text,0
Okanogan Valley Gazette-Tribune,Oroville,OKANOGAN,WA,Oroville OKANOGAN WA ,48.9392876,-119.4352588,USA,,Weekly,Yes,Newspaper,English,10/1/2007,Full Text,0
"Olympian Today's Edition, The",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Newspaper: Image Edition,English,6/13/2024,Full Text,4
"Olympian, The",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Weekly,Yes,Newspaper,English,1/1/2001,Full Text,7
"Olympian, The",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,0
"Olympian, The: Blogs",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Blog,English,1/1/2006,Full Text,0
"Olympian, The: Video",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Weekly,Yes,Video,English,6/5/2023,Full Video Feed,0
"Olympian, The: Video Transcripts",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Weekly,Yes,Transcript,English,4/16/2019,Full Text,0
"Olympian, The: Web Edition Articles",Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,Web-Only Source,English,6/3/2009,Full Text,0
"Palestine Chronicle, The",Mountlake Terrace,Snohomish,WA,Mountlake Terrace Snohomish WA ,47.7881528,-122.3087405,USA,,Weekly,No,Web-Only Source,English,6/18/2008,Full Text,0
Peninsula Daily News,Port Angeles,CLALLAM,WA,Port Angeles CLALLAM WA ,48.118146,-123.4307413,USA,,Daily,Yes,Newspaper,English,3/26/2001,Full Text,8
"Peninsula Gateway, The",Gig Harbor,Pierce,WA,Gig Harbor Pierce WA ,47.3293853,-122.5808577,USA,,Weekly,Yes,Newspaper,English,5/9/2012,Full Text,0
"Peninsula Gateway, The: Archive",Gig Harbor,Pierce,WA,Gig Harbor Pierce WA ,47.3293853,-122.5808577,USA,,Weekly,No,Newspaper,English,12/13/2006,Full Text,0
"Peninsula Gateway, The: Blogs",Gig Harbor,Pierce,WA,Gig Harbor Pierce WA ,47.3293853,-122.5808577,USA,,Weekly,Yes,Blog,English,8/22/2012,Full Text,0
"Pioneer, The: Whitman College",Walla Walla,Walla Walla,WA,Walla Walla Walla Walla WA ,46.0645809,-118.3430209,USA,,Weekly,Yes,College/University Newspaper,English,4/28/2013,Full Text,1
Port Orchard Independent,Port Orchard,Kitsap,WA,Port Orchard Kitsap WA ,47.5403732,-122.6362492,USA,,Weekly,Yes,Newspaper,English,10/8/1999,Full Text,0
Puyallup Herald,Puyallup,Pierce,WA,Puyallup Pierce WA ,47.1853785,-122.2928974,USA,,Weekly,Yes,Newspaper,English,7/14/2015,Full Text,0
Puyallup Herald: Archive,Puyallup,Pierce,WA,Puyallup Pierce WA ,47.1853785,-122.2928974,USA,,Weekly,Yes,Newspaper,English,9/20/2007,Full Text,0
Quad City Herald,Brewster,OKANOGAN,WA,Brewster OKANOGAN WA ,48.0959784,-119.7806166,USA,,Weekly,Yes,Newspaper,English,9/29/2007,Full Text,0
Queen Anne & Magnolia News,Seattle,KING,WA,Seattle KING WA ,47.5983889,-122.3299086,USA,,Weekly,Yes,Newspaper,English,6/18/2001,Full Text,0
Quincy Valley Post-Register,Quincy,Grant,WA,Quincy Grant WA ,47.2342997,-119.8525504,USA,,Weekly,Yes,Newspaper,English,8/18/2014,Full Text,0
Redmond Reporter,Redmond,King,WA,Redmond King WA ,47.6739881,-122.121512,USA,,Weekly,Yes,Newspaper,English,4/5/2008,Full Text,3
Renton Reporter,Renton,King,WA,Renton King WA ,47.4796927,-122.2079218,USA,,Weekly,Yes,Newspaper,English,3/26/2008,Full Text,5
Sammamish Reporter,Sammamish,KING,WA,Sammamish KING WA ,47.6162683,-122.0355736,USA,,Weekly,Yes,Newspaper,English,4/11/2008,Full Text,0
"SeaTac Blog, The",SeaTac,King,WA,SeaTac King WA ,47.4435903,-122.2960726,USA,,Daily,Yes,Web-Only Source,English,8/16/2019,Full Text,0
Seattle Examiner,Seattle,KING,WA,Seattle KING WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Web-Only Source,English,4/7/2008,Full Text,0
"Seattle Globalist, The",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Web-Only Source,English,1/5/2012,Full Text,3
Seattle Post-Intelligencer,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Weekly,Yes,Newspaper,English,1/1/1986,Full Text,2
"Seattle Times, The",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,45
"Seattle Times, The",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Newspaper,English,1/1/1985,Full Text,26
"Seattle Times, The: Blogs",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Blog,English,5/19/2009,Full Text,0
"Seattle Times, The: Web Edition Articles",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Web-Only Source,English,1/2/2017,Full Text,24
Seattle Weekly,Seattle,KING,WA,Seattle KING WA ,47.5983889,-122.3299086,USA,,Weekly,Yes,Newspaper,English,3/11/2016,Full Text,7
Sequim Gazette,Sequim,CLALLAM,WA,Sequim CLALLAM WA ,48.0795365,-123.1018437,USA,,Weekly,Yes,Newspaper,English,1/2/2008,Full Text,3
Skagit Valley Herald,Mount Vernon,Skagit,WA,Mount Vernon Skagit WA ,48.4201105,-122.3374542,USA,,Daily,Yes,Newspaper,English,10/19/2005,Full Text,2
Snoqualmie Valley Record,Snoqualmie,KING,WA,Snoqualmie KING WA ,47.5287132,-121.8253906,USA,,Weekly,Yes,Newspaper,English,9/7/1999,Full Text,4
Sound Publishing: Blogs,Poulsbo,Kitsap,WA,Poulsbo Kitsap WA ,47.735928,-122.6465372,USA,,Bi-Monthly,Yes,Blog,English,7/23/2009,Full Text,0
Sounds Newspaper: South Puget Sound Community College,Olympia,Thurston,WA,Olympia Thurston WA ,47.0451842,-122.895355,USA,,Daily,Yes,College/University Newspaper,English,4/18/2013,Full Text,0
"South Beach Bulletin, The",Westport,Grays Harbor,WA,Westport Grays Harbor WA ,46.8900903,-124.1040613,USA,,Bi-Weekly,Yes,Newspaper,English,6/5/2014,Full Text,0
South County Journal,Kent,King,WA,Kent King WA ,47.3815271,-122.2374262,USA,,Daily,No,Newspaper,English,12/3/1999,Full Text,0
South Whidbey Record,Coupeville,Island,WA,Coupeville Island WA ,48.2198208,-122.6862804,USA,,Weekly,Yes,Newspaper,English,9/23/1999,Full Text,0
"Spectator, The: Seattle University",Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Weekly,No,College/University Newspaper,English,9/23/2013,Full Text,0
Spokane Examiner,Spokane,Spokane,WA,Spokane Spokane WA ,47.6579711,-117.4235319,USA,,Daily,Yes,Web-Only Source,English,08/29/2008,Full Text,0
"Spokesman-Review, The",Spokane,Spokane,WA,Spokane Spokane WA ,47.6579711,-117.4235319,USA,,Daily,No,Newspaper,English,7/1/1994,Full Text,2
"Spokesman-Review, The [TCA]",Spokane,Spokane,WA,Spokane Spokane WA ,47.6579711,-117.4235319,USA,,Daily,No,Newspaper,English,6/20/2020,Full Text,2
Stanwood Camano News,Stanwood,Snohomish,WA,Stanwood Snohomish WA ,48.2410895,-122.3706837,USA,,Weekly,Yes,Newspaper,English,5/12/2009,Full Text,0
Statesman-Examiner,Colville,Stevens,WA,Colville Stevens WA ,48.5335357,-117.7746536,USA,,Weekly,Yes,Newspaper,English,6/4/2008,Full Text,0
"Tacoma Daily Index, The",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Daily,Yes,Newspaper,English,7/31/2013,Full Text,0
Tacoma Examiner,Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Weekly,Yes,Web-Only Source,English,02/24/2009,Full Text,0
"Trail, The: University of Puget Sound",Tacoma,Pierce,WA,Tacoma Pierce WA ,47.2551307,-122.4419643,USA,,Weekly,Yes,College/University Newspaper,English,12/1/2010,Full Text,0
Tri-City Herald,Kennewick,Benton,WA,Kennewick Benton WA ,46.2086683,-119.119948,USA,,Weekly,Yes,Newspaper,English,2/21/2006,Full Text,4
Tri-City Herald,Kennewick,Benton,WA,Kennewick Benton WA ,46.2086683,-119.119948,USA,,Weekly,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,7
Tri-City Herald Today's Edition,Kennewick,Benton,WA,Kennewick Benton WA ,46.2086683,-119.119948,USA,,Daily,Yes,Newspaper: Image Edition,English,5/12/2024,Full Text,2
Tri-City Herald: Blogs,Kennewick,Benton,WA,Kennewick Benton WA ,46.2086683,-119.119948,USA,,Monthly,Yes,Blog,English,7/8/2010,Full Text,0
Tri-City Herald: Video,Kennewick,Benton,WA,Kennewick Benton WA ,46.2086683,-119.119948,USA,,Weekly,Yes,Video,English,6/23/2023,Full Video Feed,0
Tri-City Herald: Video Transcripts,Kennewick,Benton,WA,Kennewick Benton WA ,46.2086683,-119.119948,USA,,Weekly,Yes,Transcript,English,4/16/2019,Full Text,0
Tri-City Herald: Web Edition Articles,Kennewick,Benton,WA,Kennewick Benton WA ,46.2086683,-119.119948,USA,,Daily,Yes,Web-Only Source,English,6/3/2009,Full Text,0
"Tukwila Blog, The",Tukwila,King,WA,Tukwila King WA ,47.4748399,-122.2726248,USA,,Weekly,Yes,Web-Only Source,English,8/16/2019,Full Text,0
Tukwila Reporter,Tukwila,King,WA,Tukwila King WA ,47.4748399,-122.2726248,USA,,Monthly,Yes,Newspaper,English,8/17/2010,Full Text,0
Vancouver Business Journal,Vancouver,CLARK,WA,Vancouver CLARK WA ,45.6809635,-122.5970739,USA,,Bi-Weekly,No,Journal,English,3/1/2002,Full Text,0
